brand,name,image,price
Red Tape,Men Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21926408/2023/2/10/84eeff94-0f7b-4e84-ba04-e6c721dac7cf1676048828425RedTapeMenBeigeTexturedSneakers1.jpg",Rs. 5599
Red Tape,Men Slip-Resistance Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24142284/2023/7/22/73a3baa9-e527-4c0e-89c0-245d4400ace51689998837853CasualShoes1.jpg",Rs. 6899
Puma,Men C-Block Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20695804/2022/11/24/ab46964e-75c5-4af5-9194-0d9fae5c351c1669273735877-PUMA-C-Block-Mens-Shoes-7071669273735495-1.jpg",Rs. 4499
Puma,Unisex Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16530962/2021/12/24/9f9b34b2-cba5-415a-9718-c224263649f11640350292538-Puma-Unisex-Casual-Shoes-1941640350292216-1.jpg",Rs. 3999
Puma,Wired Rapid Textured Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18814816/2022/11/6/1104f25e-29c1-42bf-a9c7-0dae89a8e5a71667717398456PumaUnisexBlackWiredRapidTexturedSneakers1.jpg",Rs. 5499
Puma,Kenton Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22805288/2023/4/18/ceae2a2a-3689-4657-9106-0614bd2b1e101681796580455PUMAKentonMensShoes1.jpg",Rs. 4499
Puma,Unisex Rickie Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19150436/2022/7/19/c2242aa4-b74a-4a0f-80f2-8a48dc8ef61d1658204973176PumaWhiteSolidCasualSneakers1.jpg",Rs. 5499
Puma,Unisex Anzarun 2.0 Sustainable Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21497706/2023/2/28/b0f33773-e53e-42be-b14a-d343016651861677580039970Anzarun20UnisexSneakers1.jpg",Rs. 6999
Red Tape,Men Mesh Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21725622/2023/7/11/4b35dcc6-8d20-4e46-a5f8-53cde3f384741689078273510-Red-Tape-Men-Mesh-Sneakers-3221689078273173-1.jpg",Rs. 6899
U.S. Polo Assn.,Men Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10331501/2023/8/31/68a5eb99-210a-4196-a52e-da62edd669551693465469757-US-Polo-Assn-Men-White--Grey-Colourblocked-Sneakers-48916934-11.jpg",Rs. 2999
