brand,name,image,price,
Converse,Chuck Taylor All Star Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23059420/2023/5/6/3dc046eb-6281-4c00-8809-e5c838f914001683367294139ConverseUnisexWhiteSneakers1.jpg",Rs. 3999,
Puma,Unisex Dual Flex Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19104600/2023/2/7/923bc828-597a-4e48-9309-dd1f6c655c241675768635023-Puma-Unisex-Solid-Dual-Flex-Regular-Sneakers-250167576863473-1.jpg",Rs. 4299,
Puma,Unisex Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17543200/2022/5/4/1335ff1c-1f45-4fb0-8b2a-7104ac8e215f1651653196451PumaUnisexNavyBlueColourblockedSneakers1.jpg",Rs. 4499,
Puma,Men VK Perforated Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22153992/2023/3/28/d6b49855-a09a-4f36-bc60-a6e136151ed11679982426539One8ViratKohliShuffleV3BetterMensSneakers1.jpg",Rs. 6499,
Converse,Unisex Canvas Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25062050/2023/9/21/1aa5463d-9811-4cb2-9714-7571473e43ae1695286505008ConverseUnisexRedSneakers1.jpg",Rs. 5499,
Puma,Men Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22526206/2023/4/28/f656bb4d-b60a-4422-9d69-ebb6cded54621682664056352-Puma-Catel-Mens-Sneakers-121682664056098-1.jpg",Rs. 4499,
Puma,Dual Flex Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19104434/2023/2/28/4ed1b9fa-bf05-4693-8f71-fcbd5db613861677575377003PumaUnisexGreyStripedSneakers1.jpg",Rs. 4299,
Puma,Men Flexrate Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23371520/2023/5/25/8ad54cf5-4770-4165-ad89-b3ebfdc6e9861684997732196PumaFlexrateMensSneakers1.jpg",Rs. 4499,
Puma,Unisex Game Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15948808/2021/10/30/10a2b820-885c-44bc-b9b2-c15d671f2eee1635578980468PumaUnisexBlueTexturedTrekkingShoes1.jpg",Rs. 4499,
Puma,Men Manor V2 Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22805318/2023/4/18/b819c7a7-1fd3-401e-8898-5bf23e58b1421681793679970ManorV2MensSneakers1.jpg",Rs. 4299,
Converse,Unisex Lace-Up Casual Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25061994/2023/9/21/e8cfb028-2f5d-491d-bf5a-1f5bb273f2d21695268988236ConverseUnisexWhiteSneakers1.jpg",Rs. 5999,
